feature,in_training_data,dtype,n_unique,min_val,max_val,is_0_5_range,sample_values,type_1_ordinal,type_1_notes,type_2_binary,type_2_grouping,type_3_actuarial_liab,type_3_strategy_code,type_3_binary_groups,type_4_custom,type_4_notes
vc_trailer_assist_raw,True,int32,1,1.0,1.0,True,[1],"0->0, 1->1, 2->2, 3->3, 4->4, 5->5",,"{0,1,2}->0 | {3,4,5}->1","[0, 1, 2]->0 | [3, 4, 5]->1",ordinal_0_5,ordered,,,
vc_tactile_forward_collision_warning_raw,True,int32,2,1.0,5.0,True,"[1, 5]","0->0, 1->1, 2->2, 3->3, 4->4, 5->5",,"{0,1,2}->0 | {3,4,5}->1","{0,1,2}->0 | {3,4,5}->1 (default)",ordinal_0_5,ordered,,,
vc_wipers_speed_sensitive_raw,True,int32,2,0.0,5.0,True,"[0, 5]","0->0, 1->1, 2->2, 3->3, 4->4, 5->5",,"{0,1,2}->0 | {3,4,5}->1","[0, 1, 2]->0 | [3, 4, 5]->1","binary: {0,1,2}->0 | {3,4,5}->1",binary_low_hi,"[0, 1, 2]->0 | [3, 4, 5]->1",,
vc_wipers_heated_raw,True,int32,2,1.0,5.0,True,"[1, 5]","0->0, 1->1, 2->2, 3->3, 4->4, 5->5",,"{0,1,2}->0 | {3,4,5}->1","[0, 1, 2, 3]->0 | [4, 5]->1","binary: {0,1,2,3}->0 | {4,5}->1",binary_lo_high,"[0, 1, 2, 3]->0 | [4, 5]->1",,
vc_wipers_automatic_raw,True,int32,3,0.0,5.0,True,"[0, 3, 5]","0->0, 1->1, 2->2, 3->3, 4->4, 5->5",,"{0,1,2}->0 | {3,4,5}->1","[0, 1, 2, 3]->0 | [4, 5]->1","binary: {0,1,2,3}->0 | {4,5}->1",binary_lo_high,"[0, 1, 2, 3]->0 | [4, 5]->1",,
vc_traffic_sign_recognition_raw,True,int32,2,0.0,5.0,True,"[0, 5]","0->0, 1->1, 2->2, 3->3, 4->4, 5->5",,"{0,1,2}->0 | {3,4,5}->1","[0, 1, 2, 3]->0 | [4, 5]->1","binary: {0,1,2,3}->0 | {4,5}->1",binary_lo_high,"[0, 1, 2, 3]->0 | [4, 5]->1",,
vc_off_road_lights_raw,True,int32,1,1.0,1.0,True,[1],"0->0, 1->1, 2->2, 3->3, 4->4, 5->5",,"{0,1,2}->0 | {3,4,5}->1","{0,1,2}->0 | {3,4,5}->1 (default)",ordinal_0_5,ordered,,,
vc_power_folding_side_mirrors_raw,True,int32,3,0.0,5.0,True,"[0, 3, 5]","0->0, 1->1, 2->2, 3->3, 4->4, 5->5",,"{0,1,2}->0 | {3,4,5}->1","[0, 1, 2]->0 | [3, 4, 5]->1","binary: {0,1,2}->0 | {3,4,5}->1",binary_low_hi,"[0, 1, 2]->0 | [3, 4, 5]->1",,
vc_post_crash_fuel_cutoff_raw,True,int32,1,0.0,0.0,True,[0],"0->0, 1->1, 2->2, 3->3, 4->4, 5->5",,"{0,1,2}->0 | {3,4,5}->1","[0, 1, 2, 3]->0 | [4, 5]->1","binary: {0,1,2,3}->0 | {4,5}->1",binary_lo_high,"[0, 1, 2, 3]->0 | [4, 5]->1",,
vc_mild_hybrid_raw,True,int32,2,0.0,5.0,True,"[0, 5]","0->0, 1->1, 2->2, 3->3, 4->4, 5->5",,"{0,1,2}->0 | {3,4,5}->1","{0,1,2}->0 | {3,4,5}->1 (default)",ordinal_0_5,ordered,,,
