column_name,source_dtype,target_dtype,success_rate,notes
zip,object,numeric,100.0%,Auto: 100.0% convertible
pol_tenure_cal,object,numeric,100.0%,Auto: 100.0% convertible
cbistier_raw,object,numeric,93.3%,Auto: 93.3% convertible
cbistier_imps,object,numeric,100.0%,Auto: 100.0% convertible
late_payments_imps,object,numeric,100.0%,Auto: 100.0% convertible
credit_raw,object,numeric,93.3%,Auto: 93.3% convertible
credit_imps,object,numeric,100.0%,Auto: 100.0% convertible
veh_count_raw,object,numeric,80.9%,Auto: 80.9% convertible
veh_count_imps,object,numeric,100.0%,Auto: 100.0% convertible
driver_count_raw,object,numeric,99.5%,Auto: 99.5% convertible
driver_count_imps,object,numeric,100.0%,Auto: 100.0% convertible
pol_veh_driver_ratio_cal,object,numeric,80.4%,Auto: 80.4% convertible
DrvAge_raw,object,numeric,95.1%,Auto: 95.1% convertible
DrvAge_imps,object,numeric,100.0%,Auto: 100.0% convertible
NumMinAcc_imps,object,numeric,100.0%,Auto: 100.0% convertible
NumMajinAcc_imps,object,numeric,100.0%,Auto: 100.0% convertible
NumSpdViol_imps,object,numeric,100.0%,Auto: 100.0% convertible
NumMinViol_imps,object,numeric,100.0%,Auto: 100.0% convertible
NumMajViol_imps,object,numeric,100.0%,Auto: 100.0% convertible
owh_loo_years_cal,object,numeric,99.1%,Auto: 99.1% convertible
