feature_name,selected,blank
vc_MSRP,0,0
vc_Doors,0,0
vc_Acceleration_0_to_60,0,0
vc_Turning_Circle,0,0
vc_Length,1,0
vc_Wheelbase,1,0
vc_Bed_Length,0,0
vc_Width,0,0
vc_Height,1,0
vc_Ground_Clearance,0,0
vc_Curb_Weight,0,0
vc_Gross_Combined_Weight,0,0
vc_Interior_Volume,0,0
vc_Passenger_Volume,0,0
vc_Seating_Capacity,0,0
vc_Payload_Capacity,0,0
vc_Towing_Capacity,0,0
vc_Fuel_Tank_Capacity,1,0
vc_Seating_Rows,0,0
vc_Horsepower,0,0
vc_Torque,0,0
vc_Displacement,0,0
vc_Cylinders,0,0
vc_Engine_Valves,1,0
vc_drive_type_AWD,0,0
vc_drive_type_4WD,0,0
vc_drive_type_FWD,1,0
vc_drive_type_4X2,0,0
vc_drive_type_RWD,0,0
vc_engine_type_hybrid_electric,0,0
vc_aspiration_forced_induction,0,0
vc_fuel_diesel,0,0
vc_transmission_type_AUTOMATIC,0,0
vc_transmission_type_MANUAL,1,0
vc_transmission_type_CONTINUOUSLY_VARIABLE,0,0
vc_luxury_flag,1,0
vc_derived_volume_100k,0,0
vc_derived_density_100k,0,0
vc_derived_hp_to_volume,0,0
vc_derived_hp_to_density,0,0
vc_derived_hp_to_turn,0,0
vc_derived_hp_to_weight,1,0
vc_derived_turn_to_length,1,0
vc_derived_turn_to_width,0,0
vc_derived_length_to_rows,0,0
vc_derived_stability_val,0,0
vc_derived_info_screen_size,0,0
vc_derived_rollover_risk,0,0
vc_Cargo_Van,0,0
vc_Active_Parking_Assistance,0,0
vc_Glass_Roof,0,0
vc_Power_Sunroof,0,0
vc_Adaptive_Cruise_Control,0,0
vc_Softtop,1,0
vc_Sunroof,1,0
vc_Mild_Hybrid,0,0
vc_Auto_Start_Stop,0,0
vc_Off_Road_Lights,0,0
vc_Variable_Power_Steering,1,0
vc_Auto_Dimming_Rearview_Mirror,1,0
vc_Auto_Dimming_Side_Mirrors,1,0
vc_Center_Limited_Slip_Differential,0,0
vc_Center_Locking_Differential,0,0
vc_Electronic_4WD_Selector,0,0
vc_Front_Limited_Slip_Differential,0,0
vc_Front_Locking_Differential,0,0
vc_Hill_Descent_Control,0,0
vc_Limited_Slip_Differential,0,0
vc_Paddle_Shifters,0,0
vc_Rear_Limited_Slip_Differential,0,0
vc_Rear_Locking_Differential,0,0
vc_DVD_Player,0,1
vc_Front_Parking_Sensors,0,0
vc_Heated_Steering_Wheel,0,0
vc_Headlight_Cleaners,0,0
vc_Rear_Window_Defogger,0,0
vc_Side_Window_Defogger,0,0
vc_Heated_Side_Mirrors,1,0
vc_Heated_Washer_Jets,0,0
vc_Tinted_Windows,1,0
vc_Integrated_WiFi,1,0
vc_Power_Folding_Side_Mirrors,0,1
vc_Rear_Wiper,0,0
vc_Rear_Wiper_Automatic,0,0
vc_Remote_Engine_Start,0,0
vc_Windshield_Heated,0,0
vc_Wipers_Speed_Sensitive,0,0
vc_Navigation_Touchscreen,0,1
vc_Parking_Sensors,0,0
vc_Rear_Parking_Sensors,0,0
vc_Semiautomatic_Parking_System,0,0
vc_Premium_Audio,0,0
vc_Premium_Wheels,0,0
vc_Touch_Screen,0,0
vc_Traffic_Sign_Recognition,0,0
vc_Satellite_Aided_Transmission,1,0
vc_Satellite_Radio,1,0
vc_Speed_Sensitive_Volume,1,0
vc_Subwoofer,0,0
vc_Surround_Sound,0,0
