field,cov,CAR,SUV,TRUCK,VAN
vc_active_collision_avoidance_system_raw,liab_3p,-1,-1,-1,-1
vc_active_driving_assistance_raw,liab_3p,-1,-1,-1,-1
vc_active_parking_assistance_raw,liab_3p,-1,-1,-1,-1
vc_adaptive_cruise_control_raw,liab_3p,x,x,x,x
vc_antitheft_key_raw,liab_3p,Exclude,Exclude,Exclude,Exclude
vc_audible_forward_collision_warning_raw,liab_3p,-1,-1,-1,-1
vc_auto_dimming_rearview_mirror_raw,liab_3p,x,x,x,x
vc_auto_dimming_side_mirrors_raw,liab_3p,x,x,x,x
vc_auto_hazard_flashers_raw,liab_3p,-1,-1,-1,-1
vc_auto_start_stop_raw,liab_3p,x,x,x,x
vc_automatic_crash_notification_raw,liab_3p,-1,-1,-1,-1
vc_automatic_emergency_braking_raw,liab_3p,-1,-1,-1,-1
vc_automatic_emergency_steering_raw,liab_3p,-1,-1,-1,-1
vc_automatic_high_beams_raw,liab_3p,-1,-1,-1,-1
vc_backup_camera_raw,liab_3p,-1,-1,-1,-1
vc_blind_spot_camera_raw,liab_3p,-1,-1,-1,-1
vc_blind_spot_warning_raw,liab_3p,-1,-1,-1,-1
vc_camera_front_raw,liab_3p,-1,-1,-1,-1
vc_camera_raw,liab_3p,-1,-1,-1,-1
vc_camera_side_raw,liab_3p,-1,-1,-1,-1
vc_camera_washer_raw,liab_3p,-1,-1,-1,-1
vc_cargo_van_raw,liab_3p,Exclude,Exclude,Exclude,x
vc_center_locking_differential_raw,liab_3p,x,x,x,x
vc_cornering_brake_control_raw,liab_3p,-1,-1,-1,-1
vc_cornering_lights_raw,liab_3p,-1,-1,-1,-1
vc_crash_sensing_door_locks_raw,liab_3p,-1,-1,-1,-1
vc_crash_sensors_raw,liab_3p,-1,-1,-1,-1
vc_cross_traffic_warning_raw,liab_3p,-1,-1,-1,-1
vc_crumple_zones_raw,liab_3p,-1,-1,-1,-1
vc_daytime_running_lights_raw,liab_3p,-1,-1,-1,-1
vc_derived_hp_to_density_cal,liab_3p,x,x,x,x
vc_driver_attention_system_raw,liab_3p,-1,-1,-1,-1
vc_dvd_player_raw,liab_3p,x,x,x,x
vc_electronic_4wd_selector_raw,liab_3p,x,x,x,x
vc_electronic_braking_system_raw,liab_3p,-1,-1,-1,-1
vc_fog_lights_raw,liab_3p,x,x,x,x
vc_fog_lights_rear_raw,liab_3p,x,x,x,x
vc_forward_automatic_emergency_braking_raw,liab_3p,-1,-1,-1,-1
vc_forward_collision_warning_raw,liab_3p,-1,-1,-1,-1
vc_front_cross_traffic_warning_raw,liab_3p,-1,-1,-1,-1
vc_front_parking_sensors_raw,liab_3p,-1,-1,-1,-1
vc_glass_roof_raw,liab_3p,1,1,1,1
vc_headlights_auto_on_off_raw,liab_3p,-1,-1,-1,-1
vc_headlights_leveling_raw,liab_3p,-1,-1,-1,-1
vc_headlights_wiper_activated_raw,liab_3p,-1,-1,-1,-1
vc_heated_side_mirrors_raw,liab_3p,x,x,x,x
vc_heated_steering_wheel_raw,liab_3p,-1,-1,-1,-1
vc_heated_washer_jets_raw,liab_3p,-1,-1,-1,-1
vc_hill_ascent_assist_raw,liab_3p,x,x,x,x
vc_integrated_wifi_raw,liab_3p,1,1,1,1
vc_lane_departure_warning_raw,liab_3p,-1,-1,-1,-1
vc_lane_keeping_assistance_raw,liab_3p,-1,-1,-1,-1
vc_mild_hybrid_raw,liab_3p,x,x,x,x
vc_navigation_touchscreen_raw,liab_3p,1,1,1,1
vc_off_road_lights_raw,liab_3p,x,x,x,x
vc_parking_collision_warning_raw,liab_3p,-1,-1,-1,-1
vc_parking_sensors_raw,liab_3p,-1,-1,-1,-1
vc_passive_collision_avoidance_system_raw,liab_3p,-1,-1,-1,-1
vc_pedestrian_detection_raw,liab_3p,-1,-1,-1,-1
vc_post_crash_fuel_cutoff_raw,liab_3p,-1,-1,-1,-1
vc_power_folding_side_mirrors_raw,liab_3p,x,x,x,x
vc_power_sunroof_raw,liab_3p,1,1,1,1
vc_precollision_system_raw,liab_3p,-1,-1,-1,-1
vc_premium_audio_raw,liab_3p,x,x,x,x
vc_premium_wheels_raw,liab_3p,x,x,x,x
vc_rear_cross_traffic_warning_raw,liab_3p,-1,-1,-1,-1
vc_rear_parking_sensors_raw,liab_3p,-1,-1,-1,-1
vc_rear_window_defogger_raw,liab_3p,x,x,x,x
vc_rear_wiper_automatic_raw,liab_3p,x,x,x,x
vc_rear_wiper_raw,liab_3p,x,x,x,x
vc_remote_engine_start_raw,liab_3p,x,x,x,x
vc_reverse_automatic_emergency_braking_raw,liab_3p,-1,-1,-1,-1
vc_satellite_radio_raw,liab_3p,x,x,x,x
vc_seating_rows_impm,liab_3p,x,x,x,x
vc_seating_rows_raw,liab_3p,x,x,x,x
vc_semiautomatic_parking_system_raw,liab_3p,-1,-1,-1,-1
vc_side_mirror_turn_signals_raw,liab_3p,x,x,x,x
vc_side_window_defogger_raw,liab_3p,-1,-1,-1,-1
vc_softtop_raw,liab_3p,1,1,1,1
vc_speed_sensitive_volume_raw,liab_3p,x,x,x,x
vc_subwoofer_raw,liab_3p,x,x,x,x
vc_sunroof_raw,liab_3p,1,1,1,1
vc_surround_sound_raw,liab_3p,x,x,x,x
vc_tactile_forward_collision_warning_raw,liab_3p,-1,-1,-1,-1
vc_taillights_led_raw,liab_3p,x,x,x,x
vc_tinted_windows_raw,liab_3p,x,x,x,x
vc_touch_screen_raw,liab_3p,1,1,1,1
vc_traffic_sign_recognition_raw,liab_3p,-1,-1,-1,-1
vc_trailer_assist_raw,liab_3p,-1,-1,-1,-1
vc_variable_power_steering_raw,liab_3p,x,x,x,x
vc_vehicle_immobilizer_raw,liab_3p,Exclude,Exclude,Exclude,Exclude
vc_video_display_raw,liab_3p,1,1,1,1
vc_video_system_raw,liab_3p,1,1,1,1
vc_visual_forward_collision_warning_raw,liab_3p,-1,-1,-1,-1
vc_wipers_automatic_raw,liab_3p,-1,-1,-1,-1
vc_wipers_heated_raw,liab_3p,-1,-1,-1,-1
vc_wipers_speed_sensitive_raw,liab_3p,-1,-1,-1,-1
vc_active_collision_avoidance_system_raw,pip,-1,-1,-1,-1
vc_active_driving_assistance_raw,pip,-1,-1,-1,-1
vc_active_parking_assistance_raw,pip,x,x,x,x
vc_adaptive_cruise_control_raw,pip,-1,-1,-1,-1
vc_antitheft_key_raw,pip,Exclude,Exclude,Exclude,Exclude
vc_audible_forward_collision_warning_raw,pip,-1,-1,-1,-1
vc_auto_dimming_rearview_mirror_raw,pip,-1,-1,-1,-1
vc_auto_dimming_side_mirrors_raw,pip,-1,-1,-1,-1
vc_auto_hazard_flashers_raw,pip,-1,-1,-1,-1
vc_auto_start_stop_raw,pip,x,x,x,x
vc_automatic_crash_notification_raw,pip,-1,-1,-1,-1
vc_automatic_emergency_braking_raw,pip,-1,-1,-1,-1
vc_automatic_emergency_steering_raw,pip,-1,-1,-1,-1
vc_automatic_high_beams_raw,pip,-1,-1,-1,-1
vc_backup_camera_raw,pip,x,x,x,x
vc_blind_spot_camera_raw,pip,-1,-1,-1,-1
vc_blind_spot_warning_raw,pip,-1,-1,-1,-1
vc_camera_front_raw,pip,x,x,x,x
vc_camera_raw,pip,x,x,x,x
vc_camera_side_raw,pip,x,x,x,x
vc_camera_washer_raw,pip,-1,-1,-1,-1
vc_cargo_van_raw,pip,Exclude,Exclude,Exclude,x
vc_center_locking_differential_raw,pip,x,x,x,x
vc_cornering_brake_control_raw,pip,-1,-1,-1,-1
vc_cornering_lights_raw,pip,x,x,x,x
vc_crash_sensing_door_locks_raw,pip,-1,-1,-1,-1
vc_crash_sensors_raw,pip,-1,-1,-1,-1
vc_cross_traffic_warning_raw,pip,-1,-1,-1,-1
vc_crumple_zones_raw,pip,-1,-1,-1,-1
vc_daytime_running_lights_raw,pip,-1,-1,-1,-1
vc_derived_hp_to_density_cal,pip,x,x,x,x
vc_driver_attention_system_raw,pip,-1,-1,-1,-1
vc_dvd_player_raw,pip,1,1,1,1
vc_electronic_4wd_selector_raw,pip,x,x,x,x
vc_electronic_braking_system_raw,pip,-1,-1,-1,-1
vc_fog_lights_raw,pip,x,x,x,x
vc_fog_lights_rear_raw,pip,x,x,x,x
vc_forward_automatic_emergency_braking_raw,pip,-1,-1,-1,-1
vc_forward_collision_warning_raw,pip,-1,-1,-1,-1
vc_front_cross_traffic_warning_raw,pip,-1,-1,-1,-1
vc_front_parking_sensors_raw,pip,x,x,x,x
vc_glass_roof_raw,pip,x,x,x,x
vc_headlights_auto_on_off_raw,pip,-1,-1,-1,-1
vc_headlights_leveling_raw,pip,-1,-1,-1,-1
