column_name,dtype,notes
vin_date,string,
vin,string,
zip,"decimal128(5, 0)",
py,int64,
companyid,string,
reference_num,string,
policyid,string,
poleffdt,string,
poleffdt_imps,timestamp[us],
polexpdt_raw,timestamp[us],
polexpdt_imps,timestamp[us],
coveffdt_raw,timestamp[us],
coveffdt_imps,timestamp[us],
covexpdt_raw,timestamp[us],
covexpdt_imps,timestamp[us],
origpoleffdt_raw,timestamp[us],
origpoleffdt_imps,timestamp[us],
pol_tenure_cal,"decimal128(8, 6)",
st_raw,string,
cbistier_raw,"decimal128(3, 0)",
cbistier_imps,"decimal128(3, 0)",
late_payments_raw,"decimal128(2, 0)",
late_payments_imps,"decimal128(2, 0)",
credit_raw,"decimal128(3, 0)",
credit_imps,"decimal128(3, 0)",
vehicle_use_raw,string,
veh_use_commute_ind,int64,
veh_use_business_ind,int64,
veh_use_farm_ind,int64,
veh_count_raw,"decimal128(5, 0)",
veh_count_imps,"decimal128(5, 0)",
driver_count_raw,"decimal128(5, 0)",
driver_count_imps,"decimal128(5, 0)",
pol_veh_driver_ratio_cal,"decimal128(15, 12)",
model_year_raw,"decimal128(4, 0)",
multi_policy_discount_raw,double,
multi_pol_yes_cal,int64,
multi_pol_unknown_cal,int64,
limit_person_bi_raw,double,
limit_person_bi_imps,double,
limit_acc_bi_raw,double,
limit_acc_bi_imps,double,
veh_limit_bi_acc_ratio_cal,double,
limit_csl_raw,double,
limit_csl_imps,double,
limit_pd_raw,double,
limit_pd_imps,double,
limit_med_raw,double,
limit_med_imps,double,
limit_pip_raw,double,
limit_pip_imps,double,
limit_um_raw,double,
limit_um_imps,double,
limit_uim_raw,double,
limit_uim_imps,double,
ded_coll_raw,double,
ded_coll_imps,double,
ded_comp_raw,double,
ded_comp_imps,double,
DrvAge_raw,"decimal128(3, 0)",
DrvAge_imps,"decimal128(3, 0)",
gender_male_ind,int64,
married_ind,int64,
NumMinAcc_raw,"decimal128(1, 0)",
NumMinAcc_imps,"decimal128(2, 0)",
NumMajinAcc_raw,"decimal128(1, 0)",
NumMajinAcc_imps,"decimal128(2, 0)",
NumSpdViol_raw,"decimal128(2, 0)",
NumSpdViol_imps,"decimal128(2, 0)",
NumMinViol_raw,"decimal128(2, 0)",
NumMinViol_imps,"decimal128(2, 0)",
NumMajViol_raw,"decimal128(1, 0)",
NumMajViol_imps,"decimal128(2, 0)",
driver_has_acc_any_ind,int64,
driver_has_vio_any_ind,int64,
ee_bi_raw,double,
ee_bi_imps,double,
ee_pd_raw,double,
ee_pd_imps,double,
ee_pip_raw,double,
ee_pip_imps,double,
ee_med_raw,double,
ee_med_imps,double,
ee_um_raw,double,
ee_um_imps,double,
ee_uim_raw,double,
ee_uim_imps,double,
ee_coll_imps,double,
ee_coll_imp_imps,double,
ee_comp_raw,double,
ee_comp_imps,double,
ee_raw,double,
ee_imps,double,
incurred_raw_bi_raw,double,
incurred_raw_bi_imps,double,
incurred_raw_pd_raw,double,
incurred_raw_pd_imps,double,
incurred_raw_pip_raw,double,
incurred_raw_pip_imps,double,
incurred_raw_med_cal,double,
incurred_raw_med_cal_imps,double,
incurred_raw_um_raw,double,
incurred_raw_um_imps,double,
incurred_raw_uim_raw,double,
incurred_raw_uim_imps,double,
incurred_raw_coll_raw,double,
incurred_raw_coll_imps,double,
incurred_raw_comp_raw,double,
incurred_raw_comp_imps,double,
incloss_raw,double,
incloss_imps,double,
claim_count_bi_raw,double,
claim_count_bi_imps,double,
claim_count_pd_raw,double,
claim_count_pd_imps,double,
claim_count_pip_raw,double,
claim_count_pip_imps,double,
claim_count_med_cal,int64,
claim_count_med_cal_imps,int64,
claim_count_um_raw,double,
claim_count_um_imps,double,
claim_count_uim_raw,double,
claim_count_uim_imps,double,
claim_count_coll_raw,double,
claim_count_coll_imps,double,
claim_count_comp_raw,double,
claim_count_comp_imps,double,
claim_count_raw,double,
claim_count_imps,double,
ep_bi_raw,double,
ep_bi_imps,double,
ep_pd_raw,double,
ep_pd_imps,double,
ep_pip_raw,double,
ep_pip_imps,double,
ep_med_raw,double,
ep_med_imps,double,
ep_um_raw,double,
ep_um_imps,double,
ep_uim_raw,double,
ep_uim_imps,double,
ep_coll_raw,double,
ep_coll_imps,double,
ep_comp_raw,double,
ep_comp_imps,double,
dml_make_raw,string,
dml_model_raw,string,
dml_body_style_raw,string,
dml_engine_raw,string,
dml_year_raw,string,
dml_year_imps,double,
gvw_num_imps,double,
amc_annual_mileage_estimate_raw,string,
amc_ame_rounded_imps,double,
amc_modeled_annual_mileage_raw,string,
amc_mam2_rounded_imps,double,
owt_current_ownership_type_raw,string,
owt_comm_ind,double,
owt_leasepers_ind,double,
owt_number_of_titling_transactions_raw,string,
owt_number_of_titling_transactions_imps,double,
owh_loo_days_raw,string,
owh_loo_days_imps,double,
owh_loo_years_cal,"decimal128(8, 6)",
owh_loo_years_imp,double,
cef_est_curr_mi_grp_raw,string,
cef_est_curr_mi_grp_imps,double,
cef_ann_mi_grp_raw,string,
cef_ann_mi_grp_imps,double,
cef_owner_count_raw,string,
cef_owner_count_imps,double,
days_since_first_rollback_cal,double,
days_since_first_rollback_imp,int64,
days_since_first_airbag_deployed_cal,double,
days_since_first_airbag_deployed_imps,int64,
days_since_first_commercial_use_cal,double,
days_since_first_commercial_use_imps,int64,
days_since_first_corporate_use_cal,double,
days_since_first_corporate_use_imps,int64,
days_since_first_failed_emissions_cal,double,
days_since_first_failed_emissions_imps,int64,
days_since_first_fleet_cal,double,
days_since_first_fleet_imps,int64,
days_since_first_government_use_cal,double,
days_since_first_government_use_imps,int64,
days_since_first_lease_cal,double,
days_since_first_lease_imps,int64,
days_since_first_rental_cal,double,
days_since_first_rental_imps,int64,
days_since_first_repossession_cal,double,
days_since_first_repossession_imps,int64,
days_since_first_safety_failed_cal,double,
days_since_first_safety_failed_imps,int64,
days_since_first_scrapped_cal,double,
days_since_first_scrapped_imps,int64,
days_since_first_sev_frame_dam_prob_cal,double,
days_since_first_sev_frame_dam_prob_imps,int64,
days_since_first_taxi_cal,double,
days_since_first_taxi_imps,int64,
days_since_first_salvage_auction_cal,double,
days_since_first_salvage_auction_imps,int64,
days_since_first_stolen_cal,double,
days_since_first_stolen_imps,int64,
