column_name,encoding,category,unique_count,null_pct,dtype,source
vin_date,skip,identifier,30000,0.0,str,auto
vin,skip,identifier,26836,0.0,str,auto
zip,group_then_ohe,high_cardinality_categorical,9700,0.0,object,auto
py,numeric,discrete_numeric,6,0.0,int64,auto
companyid,skip,identifier,19,0.0,str,auto
reference_num,skip,identifier,18,0.0,str,auto
policyid,skip,identifier,27946,0.0,str,auto
poleffdt,numeric,continuous_numeric,2105,0.0,str,auto
poleffdt_imps,numeric,continuous_numeric,2105,0.0,datetime64[us],auto
polexpdt_raw,numeric,continuous_numeric,2214,0.0,datetime64[us],auto
polexpdt_imps,numeric,continuous_numeric,2214,0.0,datetime64[us],auto
coveffdt_raw,numeric,continuous_numeric,1025,93.15,datetime64[us],auto
coveffdt_imps,numeric,continuous_numeric,1026,0.0,datetime64[us],auto
covexpdt_raw,numeric,continuous_numeric,1041,93.15,datetime64[us],auto
covexpdt_imps,numeric,continuous_numeric,1042,0.0,datetime64[us],auto
origpoleffdt_raw,numeric,continuous_numeric,1516,93.15,datetime64[us],auto
origpoleffdt_imps,numeric,continuous_numeric,1517,0.0,datetime64[us],auto
pol_tenure_cal,one_hot,medium_cardinality_categorical,42,0.0,object,auto
st_raw,numeric,continuous_numeric,50,0.0,str,auto
cbistier_raw,group_then_ohe,high_cardinality_categorical,203,6.68,object,auto
cbistier_imps,group_then_ohe,high_cardinality_categorical,203,0.0,object,auto
late_payments_raw,one_hot,medium_cardinality_categorical,12,80.99,object,auto
late_payments_imps,one_hot,medium_cardinality_categorical,13,0.0,object,auto
credit_raw,group_then_ohe,high_cardinality_categorical,203,6.68,object,auto
credit_imps,group_then_ohe,high_cardinality_categorical,203,0.0,object,auto
vehicle_use_raw,numeric,continuous_numeric,10,0.0,str,auto
veh_use_commute_ind,ordinal_0_5,ordinal_0_5,2,0.0,int64,auto
veh_use_business_ind,ordinal_0_5,ordinal_0_5,2,0.0,int64,auto
veh_use_farm_ind,ordinal_0_5,ordinal_0_5,2,0.0,int64,auto
veh_count_raw,one_hot,medium_cardinality_categorical,14,19.08,object,auto
veh_count_imps,one_hot,medium_cardinality_categorical,13,0.0,object,auto
driver_count_raw,one_hot,medium_cardinality_categorical,12,0.52,object,auto
driver_count_imps,one_hot,medium_cardinality_categorical,11,0.0,object,auto
pol_veh_driver_ratio_cal,one_hot,medium_cardinality_categorical,50,19.59,object,auto
model_year_raw,one_hot,medium_cardinality_categorical,34,59.73,object,auto
multi_policy_discount_raw,numeric,continuous_numeric,29,29.63,float64,auto
multi_pol_yes_cal,ordinal_0_5,ordinal_0_5,2,0.0,int64,auto
multi_pol_unknown_cal,ordinal_0_5,ordinal_0_5,2,0.0,int64,auto
limit_person_bi_raw,numeric,continuous_numeric,26,6.08,float64,auto
limit_person_bi_imps,numeric,continuous_numeric,23,0.0,float64,auto
limit_acc_bi_raw,numeric,continuous_numeric,37,1.47,float64,auto
limit_acc_bi_imps,numeric,continuous_numeric,38,0.0,float64,auto
veh_limit_bi_acc_ratio_cal,numeric,continuous_numeric,80,22.47,float64,auto
limit_csl_raw,numeric,continuous_numeric,27,14.06,float64,auto
limit_csl_imps,numeric,continuous_numeric,26,0.0,float64,auto
limit_pd_raw,numeric,continuous_numeric,41,2.16,float64,auto
limit_pd_imps,numeric,continuous_numeric,39,0.0,float64,auto
limit_med_raw,numeric,discrete_numeric,15,59.85,float64,auto
limit_med_imps,numeric,discrete_numeric,16,0.0,float64,auto
limit_pip_raw,numeric,continuous_numeric,29,40.54,float64,auto
limit_pip_imps,numeric,continuous_numeric,27,0.0,float64,auto
limit_um_raw,numeric,continuous_numeric,22,56.98,float64,auto
limit_um_imps,numeric,discrete_numeric,20,0.0,float64,auto
limit_uim_raw,numeric,discrete_numeric,10,64.24,float64,auto
limit_uim_imps,numeric,discrete_numeric,11,0.0,float64,auto
ded_coll_raw,numeric,discrete_numeric,18,23.86,float64,auto
ded_coll_imps,numeric,discrete_numeric,19,0.0,float64,auto
ded_comp_raw,numeric,discrete_numeric,17,22.17,float64,auto
ded_comp_imps,numeric,discrete_numeric,18,0.0,float64,auto
DrvAge_raw,one_hot,medium_cardinality_categorical,91,4.87,object,auto
DrvAge_imps,one_hot,medium_cardinality_categorical,92,0.0,object,auto
gender_male_ind,ordinal_0_5,ordinal_0_5,2,0.0,int64,auto
married_ind,ordinal_0_5,ordinal_0_5,2,0.0,int64,auto
NumMinAcc_raw,one_hot,low_cardinality_categorical,3,87.53,object,auto
NumMinAcc_imps,one_hot,low_cardinality_categorical,4,0.0,object,auto
NumMajinAcc_raw,one_hot,low_cardinality_categorical,4,87.55,object,auto
NumMajinAcc_imps,one_hot,low_cardinality_categorical,5,0.0,object,auto
NumSpdViol_raw,one_hot,low_cardinality_categorical,3,87.53,object,auto
NumSpdViol_imps,one_hot,low_cardinality_categorical,4,0.0,object,auto
NumMinViol_raw,one_hot,low_cardinality_categorical,4,80.99,object,auto
NumMinViol_imps,one_hot,low_cardinality_categorical,5,0.0,object,auto
NumMajViol_raw,one_hot,low_cardinality_categorical,4,80.99,object,auto
NumMajViol_imps,one_hot,low_cardinality_categorical,5,0.0,object,auto
driver_has_acc_any_ind,ordinal_0_5,ordinal_0_5,2,0.0,int64,auto
driver_has_vio_any_ind,ordinal_0_5,ordinal_0_5,2,0.0,int64,auto
ee_bi_raw,numeric,continuous_numeric,2293,0.02,float64,auto
ee_bi_imps,numeric,continuous_numeric,2293,0.0,float64,auto
ee_pd_raw,numeric,continuous_numeric,2304,0.01,float64,auto
ee_pd_imps,numeric,continuous_numeric,2304,0.0,float64,auto
ee_pip_raw,numeric,continuous_numeric,1465,0.0,float64,auto
ee_pip_imps,numeric,continuous_numeric,1465,0.0,float64,auto
ee_med_raw,ordinal_0_5,ordinal_0_5,1,93.15,float64,auto
ee_med_imps,ordinal_0_5,ordinal_0_5,1,0.0,float64,auto
ee_um_raw,numeric,continuous_numeric,1238,0.0,float64,auto
ee_um_imps,numeric,continuous_numeric,1238,0.0,float64,auto
ee_uim_raw,numeric,continuous_numeric,927,0.0,float64,auto
ee_uim_imps,numeric,continuous_numeric,927,0.0,float64,auto
ee_coll_imps,skip,target_exposure,1991,0.0,float64,auto
ee_coll_imp_imps,numeric,continuous_numeric,1991,0.0,float64,auto
ee_comp_raw,numeric,continuous_numeric,2025,0.0,float64,auto
ee_comp_imps,numeric,continuous_numeric,2025,0.0,float64,auto
ee_raw,numeric,continuous_numeric,2325,0.0,float64,auto
ee_imps,numeric,continuous_numeric,2325,0.0,float64,auto
incurred_raw_bi_raw,numeric,continuous_numeric,83,0.0,float64,auto
incurred_raw_bi_imps,numeric,continuous_numeric,83,0.0,float64,auto
incurred_raw_pd_raw,numeric,continuous_numeric,446,0.0,float64,auto
incurred_raw_pd_imps,numeric,continuous_numeric,446,0.0,float64,auto
incurred_raw_pip_raw,numeric,continuous_numeric,45,0.0,float64,auto
incurred_raw_pip_imps,numeric,continuous_numeric,45,0.0,float64,auto
incurred_raw_med_cal,numeric,continuous_numeric,252,0.0,float64,auto
incurred_raw_med_cal_imps,numeric,continuous_numeric,252,0.0,float64,auto
incurred_raw_um_raw,numeric,continuous_numeric,32,0.0,float64,auto
incurred_raw_um_imps,numeric,continuous_numeric,32,0.0,float64,auto
incurred_raw_uim_raw,numeric,discrete_numeric,7,0.0,float64,auto
incurred_raw_uim_imps,numeric,discrete_numeric,7,0.0,float64,auto
incurred_raw_coll_raw,numeric,continuous_numeric,579,0.0,float64,auto
incurred_raw_coll_imps,numeric,continuous_numeric,579,0.0,float64,auto
