column_name,pca_group,notes
vin_date,,Join key - never in PCA
py,veh_hist,Policy year
model_year_raw,veh_hist,Vehicle model year
CALC_VEH_AGE,veh_hist,Calculated vehicle age
veh_value_dep,,Vehicle value after depreciation; we don’t want that as a feature
Dep_factor,,Depreciation factor
cef_first_branded_ind,veh_hist,First branded title indicator
cef_first_cpo_ind,veh_hist,First CPO indicator
cef_first_poten_dam_ind,veh_hist,First potential damage indicator
cef_first_sev_prob_ind,veh_hist,First severe problem indicator
cef_lien_holder_ind,veh_hist,Lien holder indicator
vc_doors_raw,veh_char,Vehicle characteristic
vc_seating_rows_raw,veh_char,Vehicle characteristic
vc_mild_hybrid_raw,veh_char,Vehicle characteristic
vc_luxury_flag_ind,veh_char,Vehicle characteristic
vc_aspiration_forced_induction_ind,veh_char,Vehicle characteristic
vc_engine_type_hybrid_electric_ind,veh_char,Vehicle characteristic
vc_drive_type_awd_ind,veh_char,Vehicle characteristic
vc_drive_type_fwd_ind,veh_char,Vehicle characteristic
vc_drive_type_rwd_ind,veh_char,Vehicle characteristic
vc_transmission_type_automatic_ind,veh_char,Vehicle characteristic
vc_transmission_type_manual_ind,veh_char,Vehicle characteristic
vc_transmission_type_continuously_variable_ind,veh_char,Vehicle characteristic
vc_active_collision_avoidance_system_raw,veh_char,Vehicle characteristic
vc_active_driving_assistance_raw,veh_char,Vehicle characteristic
vc_active_parking_assistance_raw,veh_char,Vehicle characteristic
vc_adaptive_cruise_control_raw,veh_char,Vehicle characteristic
vc_audible_forward_collision_warning_raw,veh_char,Vehicle characteristic
vc_auto_dimming_rearview_mirror_raw,veh_char,Vehicle characteristic
vc_auto_dimming_side_mirrors_raw,veh_char,Vehicle characteristic
vc_auto_start_stop_raw,veh_char,Vehicle characteristic
vc_automatic_emergency_braking_raw,veh_char,Vehicle characteristic
vc_automatic_high_beams_raw,veh_char,Vehicle characteristic
vc_backup_camera_raw,veh_char,Vehicle characteristic
vc_blind_spot_warning_raw,veh_char,Vehicle characteristic
vc_camera_front_raw,veh_char,Vehicle characteristic
vc_camera_raw,veh_char,Vehicle characteristic
vc_camera_side_raw,veh_char,Vehicle characteristic
vc_cross_traffic_warning_raw,veh_char,Vehicle characteristic
vc_daytime_running_lights_raw,veh_char,Vehicle characteristic
vc_driver_attention_system_raw,veh_char,Vehicle characteristic
vc_dvd_player_raw,veh_char,Vehicle characteristic
vc_electronic_4wd_selector_raw,veh_char,Vehicle characteristic
vc_electronic_braking_system_raw,veh_char,Vehicle characteristic
vc_fog_lights_raw,veh_char,Vehicle characteristic
vc_forward_automatic_emergency_braking_raw,veh_char,Vehicle characteristic
vc_forward_collision_warning_raw,veh_char,Vehicle characteristic
vc_front_parking_sensors_raw,veh_char,Vehicle characteristic
vc_headlights_auto_on_off_raw,veh_char,Vehicle characteristic
vc_heated_side_mirrors_raw,veh_char,Vehicle characteristic
vc_heated_steering_wheel_raw,veh_char,Vehicle characteristic
vc_hill_ascent_assist_raw,veh_char,Vehicle characteristic
vc_lane_departure_warning_raw,veh_char,Vehicle characteristic
vc_lane_keeping_assistance_raw,veh_char,Vehicle characteristic
vc_navigation_touchscreen_raw,veh_char,Vehicle characteristic
vc_parking_collision_warning_raw,veh_char,Vehicle characteristic
vc_parking_sensors_raw,veh_char,Vehicle characteristic
vc_passive_collision_avoidance_system_raw,veh_char,Vehicle characteristic
vc_pedestrian_detection_raw,veh_char,Vehicle characteristic
vc_power_folding_side_mirrors_raw,veh_char,Vehicle characteristic
vc_power_sunroof_raw,veh_char,Vehicle characteristic
vc_premium_audio_raw,veh_char,Vehicle characteristic
vc_rear_cross_traffic_warning_raw,veh_char,Vehicle characteristic
vc_rear_parking_sensors_raw,veh_char,Vehicle characteristic
vc_rear_window_defogger_raw,veh_char,Vehicle characteristic
vc_rear_wiper_raw,veh_char,Vehicle characteristic
vc_remote_engine_start_raw,veh_char,Vehicle characteristic
vc_satellite_radio_raw,veh_char,Vehicle characteristic
vc_side_mirror_turn_signals_raw,veh_char,Vehicle characteristic
vc_speed_sensitive_volume_raw,veh_char,Vehicle characteristic
vc_subwoofer_raw,veh_char,Vehicle characteristic
vc_sunroof_raw,veh_char,Vehicle characteristic
vc_surround_sound_raw,veh_char,Vehicle characteristic
vc_taillights_led_raw,veh_char,Vehicle characteristic
vc_tinted_windows_raw,veh_char,Vehicle characteristic
vc_touch_screen_raw,veh_char,Vehicle characteristic
vc_variable_power_steering_raw,veh_char,Vehicle characteristic
vc_vehicle_immobilizer_raw,veh_char,Vehicle characteristic
vc_visual_forward_collision_warning_raw,veh_char,Vehicle characteristic
vc_wipers_automatic_raw,veh_char,Vehicle characteristic
vc_length_raw,veh_char,Vehicle characteristic
vc_width_raw,veh_char,Vehicle characteristic
vc_height_raw,veh_char,Vehicle characteristic
vc_wheelbase_raw,veh_char,Vehicle characteristic
vc_curb_weight_raw,veh_char,Vehicle characteristic
vc_gross_weight_raw,veh_char,Vehicle characteristic
vc_interior_volume_raw,veh_char,Vehicle characteristic
vc_cargo_volume_raw,veh_char,Vehicle characteristic
vc_passenger_volume_raw,veh_char,Vehicle characteristic
vc_seating_capacity_raw,veh_char,Vehicle characteristic
vc_engine_displacement_raw,veh_char,Vehicle characteristic
vc_horsepower_raw,veh_char,Vehicle characteristic
vc_msrp_raw,veh_char,Vehicle characteristic
vc_turning_circle_raw,veh_char,Vehicle characteristic
vc_fuel_tank_volume_raw,veh_char,Vehicle characteristic
vc_payload_capacity_raw,veh_char,Vehicle characteristic
vc_derived_hp_to_weight_cal,veh_char,Vehicle characteristic
vc_derived_turn_to_length_cal,veh_char,Vehicle characteristic
vc_derived_turn_to_width_cal,veh_char,Vehicle characteristic
