original_column,encoding_type,output_columns,n_categories,has_other,has_missing
vin_date,skip,SKIPPED,0,False,False
late_payments_raw,skip,SKIPPED,0,False,False
veh_use_commute_ind,ordinal_0_5,veh_use_commute_ind,0,False,False
veh_use_business_ind,ordinal_0_5,veh_use_business_ind,0,False,False
veh_use_farm_ind,ordinal_0_5,veh_use_farm_ind,0,False,False
multi_pol_yes_cal,ordinal_0_5,multi_pol_yes_cal,0,False,False
multi_pol_unknown_cal,ordinal_0_5,multi_pol_unknown_cal,0,False,False
gender_male_ind,ordinal_0_5,gender_male_ind,0,False,False
married_ind,ordinal_0_5,married_ind,0,False,False
NumMinAcc_raw,one_hot,"NumMinAcc_raw_0.0,NumMinAcc_raw_1.0,NumMinAcc_raw_2.0,NumMinAcc_raw_3.0,NumMinAcc_raw_4.0,NumMinAcc_raw___OTHER__",6,True,False
NumMajinAcc_raw,one_hot,"NumMajinAcc_raw_0.0,NumMajinAcc_raw_1.0,NumMajinAcc_raw_2.0,NumMajinAcc_raw_3.0,NumMajinAcc_raw_4.0,NumMajinAcc_raw___OTHER__",6,True,False
NumSpdViol_raw,one_hot,"NumSpdViol_raw_0.0,NumSpdViol_raw_1.0,NumSpdViol_raw_2.0,NumSpdViol_raw_3.0,NumSpdViol_raw_4.0,NumSpdViol_raw___OTHER__",6,True,False
NumMinViol_raw,one_hot,"NumMinViol_raw_0.0,NumMinViol_raw_1.0,NumMinViol_raw_2.0,NumMinViol_raw_3.0,NumMinViol_raw_4.0,NumMinViol_raw_5.0,NumMinViol_raw_6.0,NumMinViol_raw_7.0,NumMinViol_raw_8.0,NumMinViol_raw_9.0,NumMinViol_raw___OTHER__",11,True,False
NumMajViol_raw,one_hot,"NumMajViol_raw_0.0,NumMajViol_raw_1.0,NumMajViol_raw_2.0,NumMajViol_raw_3.0,NumMajViol_raw_4.0,NumMajViol_raw_5.0,NumMajViol_raw___OTHER__",7,True,False
driver_has_acc_any_ind,ordinal_0_5,driver_has_acc_any_ind,0,False,False
driver_has_vio_any_ind,ordinal_0_5,driver_has_vio_any_ind,0,False,False
ee_coll_imps,skip,SKIPPED,0,False,False
owt_comm_ind,ordinal_0_5,owt_comm_ind,0,False,False
owt_leasepers_ind,ordinal_0_5,owt_leasepers_ind,0,False,False
cef_est_curr_mi_grp_imps,numeric,cef_est_curr_mi_grp_imps,0,False,False
cef_first_branded_ind,ordinal_0_5,cef_first_branded_ind,0,False,False
cef_first_cpo_ind,ordinal_0_5,cef_first_cpo_ind,0,False,False
cef_first_poten_dam_ind,ordinal_0_5,cef_first_poten_dam_ind,0,False,False
cef_first_sev_prob_ind,ordinal_0_5,cef_first_sev_prob_ind,0,False,False
cef_lien_holder_ind,ordinal_0_5,cef_lien_holder_ind,0,False,False
vc_active_collision_avoidance_system_raw,one_hot,"vc_active_collision_avoidance_system_raw_0,vc_active_collision_avoidance_system_raw_3,vc_active_collision_avoidance_system_raw_5,vc_active_collision_avoidance_system_raw___OTHER__",4,True,False
vc_active_driving_assistance_raw,one_hot,"vc_active_driving_assistance_raw_0,vc_active_driving_assistance_raw_3,vc_active_driving_assistance_raw_5,vc_active_driving_assistance_raw___OTHER__",4,True,False
vc_active_parking_assistance_raw,one_hot,"vc_active_parking_assistance_raw_0,vc_active_parking_assistance_raw_3,vc_active_parking_assistance_raw_5,vc_active_parking_assistance_raw___OTHER__",4,True,False
vc_adaptive_cruise_control_raw,one_hot,"vc_adaptive_cruise_control_raw_0,vc_adaptive_cruise_control_raw_3,vc_adaptive_cruise_control_raw_5,vc_adaptive_cruise_control_raw___OTHER__",4,True,False
vc_aspiration_forced_induction_ind,ordinal_0_5,vc_aspiration_forced_induction_ind,0,False,False
vc_audible_forward_collision_warning_raw,one_hot,"vc_audible_forward_collision_warning_raw_0,vc_audible_forward_collision_warning_raw_3,vc_audible_forward_collision_warning_raw_5,vc_audible_forward_collision_warning_raw___OTHER__",4,True,False
vc_auto_dimming_rearview_mirror_raw,one_hot,"vc_auto_dimming_rearview_mirror_raw_0,vc_auto_dimming_rearview_mirror_raw_3,vc_auto_dimming_rearview_mirror_raw_5,vc_auto_dimming_rearview_mirror_raw___OTHER__",4,True,False
vc_auto_dimming_side_mirrors_raw,ordinal_0_5,vc_auto_dimming_side_mirrors_raw,0,False,False
vc_auto_start_stop_raw,one_hot,"vc_auto_start_stop_raw_0,vc_auto_start_stop_raw_3,vc_auto_start_stop_raw_5,vc_auto_start_stop_raw___OTHER__",4,True,False
vc_automatic_emergency_braking_raw,one_hot,"vc_automatic_emergency_braking_raw_0,vc_automatic_emergency_braking_raw_3,vc_automatic_emergency_braking_raw_5,vc_automatic_emergency_braking_raw___OTHER__",4,True,False
vc_automatic_high_beams_raw,binary,vc_automatic_high_beams_raw,2,False,False
vc_backup_camera_raw,one_hot,"vc_backup_camera_raw_0,vc_backup_camera_raw_3,vc_backup_camera_raw_5,vc_backup_camera_raw___OTHER__",4,True,False
vc_blind_spot_warning_raw,binary,vc_blind_spot_warning_raw,2,False,False
vc_camera_raw,one_hot,"vc_camera_raw_0,vc_camera_raw_3,vc_camera_raw_5,vc_camera_raw___OTHER__",4,True,False
vc_camera_front_raw,ordinal_0_5,vc_camera_front_raw,0,False,False
vc_camera_side_raw,ordinal_0_5,vc_camera_side_raw,0,False,False
vc_cross_traffic_warning_raw,binary,vc_cross_traffic_warning_raw,2,False,False
vc_daytime_running_lights_raw,DROP,SKIPPED,0,False,False
vc_doors_raw,numeric,vc_doors_raw,0,False,False
vc_drive_type_awd_ind,ordinal_0_5,vc_drive_type_awd_ind,0,False,False
vc_drive_type_fwd_ind,ordinal_0_5,vc_drive_type_fwd_ind,0,False,False
vc_drive_type_rwd_ind,ordinal_0_5,vc_drive_type_rwd_ind,0,False,False
vc_driver_attention_system_raw,one_hot,"vc_driver_attention_system_raw_0,vc_driver_attention_system_raw_3,vc_driver_attention_system_raw_5,vc_driver_attention_system_raw___OTHER__",4,True,False
vc_dvd_player_raw,remap_2to4_then_ordinal,vc_dvd_player_raw,0,False,False
vc_electronic_4wd_selector_raw,ordinal_0_5,vc_electronic_4wd_selector_raw,0,False,False
vc_electronic_braking_system_raw,one_hot,"vc_electronic_braking_system_raw_0,vc_electronic_braking_system_raw_3,vc_electronic_braking_system_raw_5,vc_electronic_braking_system_raw___OTHER__",4,True,False
vc_engine_type_hybrid_electric_ind,ordinal_0_5,vc_engine_type_hybrid_electric_ind,0,False,False
vc_fog_lights_raw,DROP,SKIPPED,0,False,False
vc_forward_automatic_emergency_braking_raw,one_hot,"vc_forward_automatic_emergency_braking_raw_0,vc_forward_automatic_emergency_braking_raw_3,vc_forward_automatic_emergency_braking_raw_5,vc_forward_automatic_emergency_braking_raw___OTHER__",4,True,False
vc_forward_collision_warning_raw,one_hot,"vc_forward_collision_warning_raw_0,vc_forward_collision_warning_raw_3,vc_forward_collision_warning_raw_5,vc_forward_collision_warning_raw___OTHER__",4,True,False
vc_front_parking_sensors_raw,binary,vc_front_parking_sensors_raw,2,False,False
vc_headlights_auto_on_off_raw,binary,vc_headlights_auto_on_off_raw,2,False,False
vc_heated_side_mirrors_raw,binary,vc_heated_side_mirrors_raw,2,False,False
vc_heated_steering_wheel_raw,binary,vc_heated_steering_wheel_raw,2,False,False
vc_hill_ascent_assist_raw,one_hot,"vc_hill_ascent_assist_raw_0,vc_hill_ascent_assist_raw_3,vc_hill_ascent_assist_raw_5,vc_hill_ascent_assist_raw___OTHER__",4,True,False
vc_lane_departure_warning_raw,binary,vc_lane_departure_warning_raw,2,False,False
vc_lane_keeping_assistance_raw,binary,vc_lane_keeping_assistance_raw,2,False,False
vc_mild_hybrid_raw,ordinal_0_5,vc_mild_hybrid_raw,0,False,False
vc_msrp_impa,numeric,vc_msrp_impa,0,False,False
vc_navigation_touchscreen_raw,binary,vc_navigation_touchscreen_raw,2,False,False
vc_parking_collision_warning_raw,binary,vc_parking_collision_warning_raw,2,False,False
vc_parking_sensors_raw,binary,vc_parking_sensors_raw,2,False,False
vc_passive_collision_avoidance_system_raw,one_hot,"vc_passive_collision_avoidance_system_raw_0,vc_passive_collision_avoidance_system_raw_3,vc_passive_collision_avoidance_system_raw_5,vc_passive_collision_avoidance_system_raw___OTHER__",4,True,False
vc_pedestrian_detection_raw,one_hot,"vc_pedestrian_detection_raw_0,vc_pedestrian_detection_raw_3,vc_pedestrian_detection_raw_5,vc_pedestrian_detection_raw___OTHER__",4,True,False
vc_power_folding_side_mirrors_raw,binary,vc_power_folding_side_mirrors_raw,2,False,False
vc_power_sunroof_raw,one_hot,"vc_power_sunroof_raw_0,vc_power_sunroof_raw_3,vc_power_sunroof_raw_5,vc_power_sunroof_raw___OTHER__",4,True,False
vc_premium_audio_raw,remap_2to4_then_ordinal,vc_premium_audio_raw,0,False,False
