feature,mean_abs_shap
multi_pol_unknown_cal,0.29844028
vc_camera_raw_0,0.29528007
vc_seating_rows_raw,0.16035184
married_ind,0.1394031
vc_electronic_braking_system_raw_5,0.13435635
cef_est_curr_mi_grp_imps,0.13336791
cef_lien_holder_ind,0.1315916
vc_camera_raw_5,0.113317154
cef_first_poten_dam_ind,0.100482054
multi_pol_yes_cal,0.09524576
vc_msrp_impa,0.079251215
vc_satellite_radio_raw,0.056992542
vc_speed_sensitive_volume_raw,0.053871945
vc_rear_wiper_raw_0,0.052032605
vc_headlights_auto_on_off_raw,0.047099292
gender_male_ind,0.038675256
cef_first_branded_ind,0.034423612
vc_hill_ascent_assist_raw_0,0.030191956
vc_touch_screen_raw_0,0.027577676
vc_premium_audio_raw,0.027449023
cef_first_sev_prob_ind,0.025905827
vc_taillights_led_raw,0.023018325
cef_first_cpo_ind,0.022376688
vc_drive_type_rwd_ind,0.022020442
veh_use_commute_ind,0.020605398
vc_auto_start_stop_raw_0,0.019140484
vc_power_sunroof_raw_3,0.01873297
vc_touch_screen_raw_4,0.018727986
vc_transmission_type_automatic_ind,0.016138785
vc_wipers_automatic_raw,0.015620961
vc_auto_dimming_side_mirrors_raw,0.014998001
vc_remote_engine_start_raw_5,0.013844252
vc_backup_camera_raw_0,0.013197045
vc_side_mirror_turn_signals_raw,0.013175978
vc_transmission_type_manual_ind,0.013065273
vc_tinted_windows_raw_0,0.013033288
vc_hill_ascent_assist_raw_5,0.012672425
vc_forward_automatic_emergency_braking_raw_5,0.011591022
vc_passive_collision_avoidance_system_raw_5,0.011118754
vc_sunroof_raw_0,0.010786718
vc_auto_start_stop_raw_5,0.009145782
vc_doors_raw,0.009078509
vc_drive_type_fwd_ind,0.008370189
vc_driver_attention_system_raw_5,0.008016336
vc_auto_dimming_rearview_mirror_raw_0,0.008012972
vc_blind_spot_warning_raw,0.007144629
vc_rear_parking_sensors_raw,0.0062170858
vc_subwoofer_raw,0.006005532
vc_camera_raw_3,0.0059096944
vc_auto_dimming_rearview_mirror_raw_3,0.0057582837
vc_audible_forward_collision_warning_raw_3,0.0054269857
vc_active_driving_assistance_raw_3,0.005240634
vc_rear_cross_traffic_warning_raw,0.0049559567
vc_visual_forward_collision_warning_raw_5,0.0048351833
vc_engine_type_hybrid_electric_ind,0.004798108
NumMajViol_raw_0.0,0.004250456
vc_visual_forward_collision_warning_raw_3,0.0042453357
vc_backup_camera_raw_5,0.0041905413
vc_mild_hybrid_raw,0.004183048
vc_rear_window_defogger_raw,0.003999041
vc_heated_side_mirrors_raw,0.003996616
vc_drive_type_awd_ind,0.003947821
vc_remote_engine_start_raw_3,0.003939981
vc_forward_collision_warning_raw_5,0.0038321225
vc_aspiration_forced_induction_ind,0.003656936
vc_navigation_touchscreen_raw,0.0036412124
vc_dvd_player_raw,0.0035401701
vc_tinted_windows_raw_5,0.00345679
vc_remote_engine_start_raw_0,0.0034391205
vc_surround_sound_raw_3,0.0034232764
vc_cross_traffic_warning_raw,0.0034151913
vc_sunroof_raw_5,0.0034025603
vc_active_collision_avoidance_system_raw_5,0.003358417
vc_front_parking_sensors_raw,0.0029572782
vc_sunroof_raw_3,0.0029244376
veh_use_business_ind,0.0028516867
vc_parking_collision_warning_raw,0.0027703657
vc_active_driving_assistance_raw_5,0.0026603704
vc_forward_collision_warning_raw_3,0.0026337418
vc_electronic_braking_system_raw_0,0.0025825032
vc_adaptive_cruise_control_raw_5,0.002535414
vc_auto_dimming_rearview_mirror_raw_5,0.0024943033
vc_adaptive_cruise_control_raw_3,0.00249389
vc_power_folding_side_mirrors_raw,0.002488593
vc_lane_departure_warning_raw,0.0024479977
vc_rear_wiper_raw_3,0.0023339482
vc_power_sunroof_raw_0,0.0022870793
vc_active_collision_avoidance_system_raw_0,0.002284118
vc_power_sunroof_raw_5,0.0022527326
vc_touch_screen_raw_3,0.0021342349
vc_surround_sound_raw_4,0.0021079802
vc_touch_screen_raw_5,0.0020633994
vc_active_parking_assistance_raw_0,0.0019232476
owt_leasepers_ind,0.001884356
vc_automatic_high_beams_raw,0.0018608903
vc_pedestrian_detection_raw_3,0.0017360928
vc_vehicle_immobilizer_raw,0.0016545767
vc_camera_front_raw,0.0016132151
vc_surround_sound_raw_1,0.0015643329
vc_active_parking_assistance_raw_5,0.001390837
vc_forward_automatic_emergency_braking_raw_3,0.0013905443
vc_luxury_flag_ind,0.0013602736
