max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,n_estimators,fit_quality,model_power,lift_opt_score,mae
3,0.1,500,0.8,1.0,20,0.8964516225983652,0.33415564040763623,0.9986716927596725,283.57252598919126
3,0.1,2000,0.8,1.0,20,0.8964516225983652,0.33415564040763623,0.9986716927596725,283.57252598919126
3,0.1,1000,0.8,1.0,20,0.8964516225983652,0.33415564040763623,0.9986716927596725,283.57252598919126
3,0.1,1000,1.0,1.0,20,0.8931884172228866,0.32632426021107813,0.9921971917220348,283.6034446981446
3,0.1,500,1.0,1.0,20,0.8931884172228866,0.32632426021107813,0.9921971917220348,283.6034446981446
3,0.1,2000,1.0,1.0,20,0.8931884172228866,0.32632426021107813,0.9921971917220348,283.6034446981446
5,0.1,500,0.8,1.0,20,0.8788538869302471,0.38063064500082183,0.9845590620793566,279.17663456502
5,0.1,500,1.0,1.0,20,0.8779995989646483,0.37856794521815035,0.9827978113779497,279.94030829041117
5,0.1,2000,1.0,1.0,20,0.8765632671593258,0.37859352191055806,0.9806167634024447,279.94295742793184
5,0.1,1000,1.0,1.0,20,0.8764449953940642,0.3785104576404214,0.9804169057216826,279.9288620427191
5,0.1,1000,0.8,1.0,20,0.8739801040382171,0.3806403622493672,0.9770992603610251,279.1805208162203
5,0.1,2000,0.8,1.0,20,0.8732816729891428,0.3806736944006743,0.9760187806547826,279.1864958776389
4,0.1,500,0.8,1.0,20,0.8719547535300152,0.3595424082708794,0.969054706350408,281.9541794533744
5,0.1,500,1.0,0.8,20,0.8718367209601663,0.3579511770952558,0.9684929996080871,277.8434561708985
5,0.1,1000,1.0,0.8,20,0.8718336989051135,0.3579550810792999,0.9684891715807241,277.84409870166235
5,0.1,2000,1.0,0.8,20,0.8716230175922515,0.35796476574881236,0.968159929714762,277.84582375997934
4,0.1,2000,0.8,1.0,20,0.867197585314483,0.3595403856538,0.9614607409775645,281.9540068286402
4,0.1,1000,0.8,1.0,20,0.867197585314483,0.3595403856538,0.9614607409775645,281.9540068286402
6,0.1,500,0.8,1.0,20,0.8613340684519121,0.4007614769620461,0.961030442946071,275.32259634057317
6,0.1,1000,0.8,1.0,20,0.8569243172777199,0.40198776116378077,0.9536965836398161,275.1153981103646
6,0.1,2000,0.8,1.0,20,0.8567870603798093,0.40226797168300493,0.9535162099778375,275.1527885652898
4,0.1,2000,1.0,1.0,20,0.8605041435282806,0.36020545611527366,0.9505098910267986,282.4763055785356
6,0.1,2000,1.0,1.0,20,0.8542139135522415,0.4014890507908267,0.9487959162663955,276.2727959164146
6,0.1,1000,1.0,0.8,20,0.8561501082036875,0.3806595171456635,0.947666776362422,274.0118630471379
6,0.1,500,1.0,0.8,20,0.8559679118269529,0.3806093709312344,0.9473352142046045,274.00082568098065
4,0.1,1000,1.0,1.0,20,0.8584287642108214,0.3602018513723402,0.9469574853228883,282.47577921849125
4,0.1,500,1.0,1.0,20,0.8584287642108214,0.3602018513723402,0.9469574853228883,282.47577921849125
6,0.1,2000,1.0,0.8,20,0.8555288235946551,0.3810208140195073,0.9466533618254893,274.0398225240249
6,0.1,1000,1.0,1.0,20,0.8519698040865522,0.40594424552867675,0.9457003187309722,275.939047704018
3,0.1,500,1.0,0.8,20,0.8619402541229314,0.3148906540424296,0.9418332228637581,283.0197266931755
3,0.1,1000,1.0,0.8,20,0.8619402541229314,0.3148906540424296,0.9418332228637581,283.0197266931755
3,0.1,2000,1.0,0.8,20,0.8619402541229314,0.3148906540424296,0.9418332228637581,283.0197266931755
5,0.1,500,0.8,0.8,20,0.8543848686944987,0.3604519437176643,0.9399390871958819,277.4410095195594
5,0.1,2000,0.8,0.8,20,0.8538017510388414,0.36049630422769646,0.9389113145430927,277.4471379401792
5,0.1,1000,0.8,0.8,20,0.8538046497442705,0.36047275275803814,0.9389110124199228,277.443531510713
6,0.1,500,1.0,1.0,20,0.8472391750549361,0.4034604085446025,0.9364137248165942,275.85104880820677
6,0.1,500,0.8,0.8,20,0.8493000533115899,0.38195723702179735,0.9356026377782694,273.53623696368345
6,0.1,1000,0.8,0.8,20,0.8491156709711207,0.38198166877332784,0.935266464571119,273.54861817387007
6,0.05,500,1.0,1.0,20,0.8576580461875359,0.29171899157035563,0.928501177363714,278.044660268223
6,0.05,1000,1.0,1.0,20,0.8563850370087288,0.2917407966283654,0.9263075870660096,278.04752326509356
3,0.1,1000,0.8,0.8,20,0.8522716331969561,0.3141000536784429,0.9248818902891638,282.78332884097546
3,0.1,500,0.8,0.8,20,0.8522716331969561,0.3141000536784429,0.9248818902891638,282.78332884097546
3,0.1,2000,0.8,0.8,20,0.8522716331969561,0.3141000536784429,0.9248818902891638,282.78332884097546
6,0.1,2000,0.8,0.8,20,0.8433178706450684,0.3820454119585118,0.9242815592359174,273.5587710017198
6,0.05,2000,1.0,1.0,20,0.8495476851651853,0.2916741436531079,0.9141162417252869,278.04605941192625
6,0.05,500,0.8,1.0,20,0.8460832252416042,0.2943935152718106,0.9084202372119595,277.25656048682987
6,0.05,1000,0.8,1.0,20,0.8459416098570492,0.2943405958208309,0.9081403176801252,277.248881251078
6,0.05,2000,0.8,1.0,20,0.8457749027722886,0.29441789566678533,0.9078471756913254,277.2605883110578
4,0.1,2000,0.8,0.8,20,0.8310523035338209,0.3361502294392034,0.8887809647663004,280.4991259951568
4,0.1,500,0.8,0.8,20,0.8310523035338209,0.3361502294392034,0.8887809647663004,280.4991259951568
4,0.1,1000,0.8,0.8,20,0.8310523035338209,0.3361502294392034,0.8887809647663004,280.4991259951568
6,0.05,2000,1.0,0.8,20,0.836788596247445,0.2685896344559023,0.8834064596060726,277.38719917307236
4,0.1,2000,1.0,0.8,20,0.8263627913676717,0.3358984949775402,0.8784931221839688,280.78625494027983
6,0.05,1000,1.0,0.8,20,0.8341942598290648,0.26843313393156587,0.8780794873515068,277.38469456701154
4,0.1,1000,1.0,0.8,20,0.8258936594596984,0.33589262305749507,0.8774454653067685,280.7853296039845
4,0.1,500,1.0,0.8,20,0.8258936594596984,0.33589262305749507,0.8774454653067685,280.7853296039845
5,0.05,1000,0.8,1.0,20,0.8318077928170298,0.27690101245061166,0.8754069366471895,279.9780279551856
6,0.05,500,1.0,0.8,20,0.8327310310072487,0.2684893478723309,0.8750638244027951,277.3793739437933
5,0.05,2000,0.8,1.0,20,0.8313821444677696,0.27691548852582065,0.8745138399199217,279.9800663880302
5,0.05,500,0.8,1.0,20,0.8298330895605457,0.27689317447575096,0.8712160345210795,279.97683236117257
4,0.05,500,0.8,1.0,20,0.8193203505492156,0.26123261747500653,0.843489314472215,282.05257941212705
4,0.05,1000,0.8,1.0,20,0.8193203505492156,0.26123261747500653,0.843489314472215,282.05257941212705
4,0.05,2000,0.8,1.0,20,0.8193203505492156,0.26123261747500653,0.843489314472215,282.05257941212705
5,0.05,500,1.0,0.8,20,0.8159065634843107,0.2517341894757247,0.832803259978026,280.00893101321356
5,0.05,2000,1.0,0.8,20,0.8155921250631044,0.2517193577696931,0.8320424432752145,280.01304893168697
5,0.05,1000,1.0,0.8,20,0.8155165363738106,0.2517367219201932,0.8318649896401966,280.0093110131303
4,0.05,2000,0.8,0.8,20,0.8172110049650044,0.23581234865221143,0.8314589050463771,281.8111592703041
4,0.05,1000,0.8,0.8,20,0.8172110049650044,0.23581234865221143,0.8314589050463771,281.8111592703041
5,0.05,1000,1.0,1.0,20,0.8119119622734696,0.27422111133972754,0.8290361578317487,280.4531619085386
5,0.05,500,1.0,1.0,20,0.811909291442609,0.2742131040764368,0.8290273861291987,280.4519746590512
4,0.05,500,0.8,0.8,20,0.8153244438048387,0.23580688602039843,0.826952746634819,281.80992419236264
3,0.05,2000,0.8,0.8,20,0.8121859642162648,0.21819285789869913,0.814233580698506,283.37983593186254
3,0.05,500,0.8,0.8,20,0.8121859642162648,0.21819285789869913,0.814233580698506,283.37983593186254
3,0.05,1000,0.8,0.8,20,0.8121859642162648,0.21819285789869913,0.814233580698506,283.37983593186254
5,0.05,2000,1.0,1.0,20,0.8056879213798545,0.274219729822881,0.813025426527568,280.45295876375997
3,0.05,500,1.0,1.0,20,0.8061088180800913,0.24031063010304485,0.8050836322818087,283.74170356438293
3,0.05,2000,1.0,1.0,20,0.8061088180800913,0.24031063010304485,0.8050836322818087,283.74170356438293
3,0.05,1000,1.0,1.0,20,0.8061088180800913,0.24031063010304485,0.8050836322818087,283.74170356438293
3,0.05,1000,1.0,0.8,20,0.8065145571181125,0.2179663886672876,0.7998275819077592,283.495089582834
3,0.05,2000,1.0,0.8,20,0.8065145571181125,0.2179663886672876,0.7998275819077592,283.495089582834
3,0.05,500,1.0,0.8,20,0.8065145571181125,0.2179663886672876,0.7998275819077592,283.495089582834
6,0.05,500,0.8,0.8,20,0.795032545165288,0.26676156841626913,0.7815756926678059,276.90809380703695
5,0.05,2000,0.8,0.8,20,0.7965816477700548,0.2494098166661126,0.7815189170121931,279.7670020574341
5,0.05,1000,0.8,0.8,20,0.7964872737999544,0.2494027900552248,0.7812478096037954,279.7646363372548
5,0.05,500,0.8,0.8,20,0.7964257240066991,0.24939281556382667,0.7810694464351261,279.762661345379
6,0.05,1000,0.8,0.8,20,0.7945066401928876,0.2667732277247294,0.7800486302647092,276.9031803780821
6,0.05,2000,0.8,0.8,20,0.7943951071317087,0.2667940410608305,0.7797285329736693,276.9186818921098
4,0.05,500,1.0,1.0,20,0.7897629285054233,0.2612029744390272,0.7645157417204237,282.31917649986366
4,0.05,1000,1.0,1.0,20,0.7897629285054233,0.2612029744390272,0.7645157417204237,282.31917649986366
4,0.05,2000,1.0,1.0,20,0.7897629285054233,0.2612029744390272,0.7645157417204237,282.31917649986366
4,0.05,500,1.0,0.8,20,0.7829069852367726,0.23623086196327872,0.736703679247996,281.9685070612665
4,0.05,2000,1.0,0.8,20,0.7829069852367726,0.23623086196327872,0.736703679247996,281.9685070612665
4,0.05,1000,1.0,0.8,20,0.7829069852367726,0.23623086196327872,0.736703679247996,281.9685070612665
3,0.05,1000,0.8,1.0,20,0.7806688437306899,0.24208676484572522,0.730993347035786,283.63219489523414
3,0.05,500,0.8,1.0,20,0.7806688437306899,0.24208676484572522,0.730993347035786,283.63219489523414
3,0.05,2000,0.8,1.0,20,0.7806688437306899,0.24208676484572522,0.730993347035786,283.63219489523414
4,0.01,500,1.0,1.0,20,0.7517467555335751,0.1169241681852469,0.5931574476682149,287.70124512307996
4,0.01,1000,1.0,1.0,20,0.7517467555335751,0.1169241681852469,0.5931574476682149,287.70124512307996
4,0.01,2000,1.0,1.0,20,0.7517467555335751,0.1169241681852469,0.5931574476682149,287.70124512307996
3,0.01,1000,0.8,1.0,20,0.7437101163830464,0.11116474539818011,0.5599422957719131,288.1957832286174
3,0.01,2000,0.8,1.0,20,0.7437101163830464,0.11116474539818011,0.5599422957719131,288.1957832286174
3,0.01,500,0.8,1.0,20,0.7437101163830464,0.11116474539818011,0.5599422957719131,288.1957832286174
5,0.01,1000,1.0,1.0,20,0.7385613226031258,0.12068462934670837,0.5416772239258238,287.13150901421324
5,0.01,2000,1.0,1.0,20,0.7385613226031258,0.12068462934670837,0.5416772239258238,287.13150901421324
5,0.01,500,1.0,1.0,20,0.7385592944588641,0.12068512885217453,0.5416690233794783,287.1313784365427
3,0.01,1000,1.0,1.0,20,0.7387922192351521,0.11075525209802944,0.5399282885104701,288.21526884459195
3,0.01,2000,1.0,1.0,20,0.7387922192351521,0.11075525209802944,0.5399282885104701,288.21526884459195
3,0.01,500,1.0,1.0,20,0.7387922192351521,0.11075525209802944,0.5399282885104701,288.21526884459195
6,0.01,2000,1.0,1.0,20,0.7278679754784192,0.12600967375366784,0.49822020746731155,286.467059027415
4,0.01,2000,0.8,1.0,20,0.7208284016394311,0.11703430255711215,0.46585842509952796,287.6483901078873
4,0.01,1000,0.8,1.0,20,0.7208284016394311,0.11703430255711215,0.46585842509952796,287.6483901078873
4,0.01,500,0.8,1.0,20,0.7208282684540289,0.11703391065205376,0.46585775832447024,287.6483298179098
6,0.01,1000,1.0,1.0,20,0.7179550876019758,0.12601561040511977,0.4555428775871249,286.4644973166275
6,0.01,500,1.0,1.0,20,0.7166836943033199,0.1260150357293899,0.4500285802834686,286.46447032099826
5,0.01,500,0.8,1.0,20,0.7167257135937474,0.12080397854652687,0.44902439961253066,287.02084879704626
