feature,mean_abs_shap
ee_bi_imps,0.36854294
cef_first_poten_dam_ind,0.10940792
married_ind,0.08144886
multi_pol_unknown_cal,0.048700202
multi_pol_yes_cal,0.029169869
vc_backup_camera_raw_0,0.022158215
cef_lien_holder_ind,0.009960714
vc_automatic_emergency_braking_raw_3,0.0093156425
vc_rear_wiper_raw_0,0.009247723
vc_backup_camera_raw_5,0.008471407
vc_drive_type_fwd_ind,0.005383712
vc_seating_rows_raw,0.004773456
cef_est_curr_mi_grp_imps,0.0037617013
cef_first_branded_ind,0.0035696402
vc_speed_sensitive_volume_raw,0.0035369738
vc_luxury_flag_ind,0.0033757885
vc_msrp_impa,0.0032775807
vc_surround_sound_raw_1,0.0032610002
gender_male_ind,0.0031589812
vc_transmission_type_manual_ind,0.0030394983
vc_surround_sound_raw_3,0.002395107
vc_rear_wiper_raw_5,0.0018774637
vc_passive_collision_avoidance_system_raw_0,0.0016472113
vc_auto_start_stop_raw_5,0.0006066239
vc_dvd_player_raw,0.0005140931
vc_active_parking_assistance_raw_3,0.0002108143
vc_navigation_touchscreen_raw,0.0
vc_hill_ascent_assist_raw_3,0.0
vc_parking_collision_warning_raw,0.0
vc_parking_sensors_raw,0.0
vc_passive_collision_avoidance_system_raw_3,0.0
vc_mild_hybrid_raw,0.0
vc_passive_collision_avoidance_system_raw_5,0.0
vc_lane_keeping_assistance_raw,0.0
vc_lane_departure_warning_raw,0.0
vc_passive_collision_avoidance_system_raw___OTHER__,0.0
vc_hill_ascent_assist_raw___OTHER__,0.0
vc_hill_ascent_assist_raw_5,0.0
veh_use_commute_ind,0.0
vc_hill_ascent_assist_raw_0,0.0
vc_heated_steering_wheel_raw,0.0
vc_driver_attention_system_raw___OTHER__,0.0
vc_electronic_4wd_selector_raw,0.0
vc_electronic_braking_system_raw_0,0.0
vc_electronic_braking_system_raw_3,0.0
vc_electronic_braking_system_raw_5,0.0
vc_electronic_braking_system_raw___OTHER__,0.0
vc_engine_type_hybrid_electric_ind,0.0
vc_forward_automatic_emergency_braking_raw_0,0.0
vc_forward_automatic_emergency_braking_raw_3,0.0
vc_forward_automatic_emergency_braking_raw_5,0.0
vc_forward_automatic_emergency_braking_raw___OTHER__,0.0
vc_forward_collision_warning_raw_0,0.0
vc_forward_collision_warning_raw_3,0.0
vc_forward_collision_warning_raw_5,0.0
vc_forward_collision_warning_raw___OTHER__,0.0
vc_front_parking_sensors_raw,0.0
vc_pedestrian_detection_raw_3,0.0
vc_headlights_auto_on_off_raw,0.0
vc_heated_side_mirrors_raw,0.0
vc_pedestrian_detection_raw_0,0.0
vc_premium_audio_raw,0.0
vc_pedestrian_detection_raw_5,0.0
vc_pedestrian_detection_raw___OTHER__,0.0
vc_surround_sound_raw_4,0.0
vc_surround_sound_raw_5,0.0
vc_surround_sound_raw___OTHER__,0.0
vc_taillights_led_raw,0.0
vc_tinted_windows_raw_0,0.0
vc_tinted_windows_raw_3,0.0
vc_tinted_windows_raw_5,0.0
vc_tinted_windows_raw___OTHER__,0.0
vc_touch_screen_raw_0,0.0
vc_touch_screen_raw_3,0.0
vc_touch_screen_raw_4,0.0
vc_touch_screen_raw_5,0.0
vc_touch_screen_raw___OTHER__,0.0
vc_transmission_type_automatic_ind,0.0
vc_variable_power_steering_raw,0.0
vc_visual_forward_collision_warning_raw_0,0.0
vc_visual_forward_collision_warning_raw_3,0.0
vc_visual_forward_collision_warning_raw_5,0.0
vc_visual_forward_collision_warning_raw___OTHER__,0.0
vc_sunroof_raw___OTHER__,0.0
vc_sunroof_raw_5,0.0
vc_sunroof_raw_3,0.0
vc_rear_window_defogger_raw,0.0
vc_power_folding_side_mirrors_raw,0.0
vc_power_sunroof_raw_0,0.0
vc_power_sunroof_raw_3,0.0
vc_power_sunroof_raw_5,0.0
vc_power_sunroof_raw___OTHER__,0.0
vc_driver_attention_system_raw_3,0.0
vc_rear_cross_traffic_warning_raw,0.0
vc_rear_parking_sensors_raw,0.0
vc_rear_wiper_raw_3,0.0
vc_sunroof_raw_0,0.0
vc_rear_wiper_raw___OTHER__,0.0
vc_remote_engine_start_raw_0,0.0
vc_remote_engine_start_raw_3,0.0
vc_remote_engine_start_raw_5,0.0
vc_remote_engine_start_raw___OTHER__,0.0
vc_satellite_radio_raw,0.0
vc_side_mirror_turn_signals_raw,0.0
vc_subwoofer_raw,0.0
vc_driver_attention_system_raw_5,0.0
vc_camera_front_raw,0.0
vc_driver_attention_system_raw_0,0.0
NumMinViol_raw_1.0,0.0
NumMinViol_raw_3.0,0.0
NumMinViol_raw_4.0,0.0
NumMinViol_raw_5.0,0.0
NumMinViol_raw_6.0,0.0
NumMinViol_raw_7.0,0.0
NumMinViol_raw_8.0,0.0
NumMinViol_raw_9.0,0.0
NumMinViol_raw___OTHER__,0.0
NumMajViol_raw_0.0,0.0
NumMajViol_raw_1.0,0.0
NumMajViol_raw_2.0,0.0
NumMajViol_raw_3.0,0.0
NumMajViol_raw_4.0,0.0
NumMajViol_raw_5.0,0.0
NumMajViol_raw___OTHER__,0.0
driver_has_acc_any_ind,0.0
driver_has_vio_any_ind,0.0
owt_comm_ind,0.0
owt_leasepers_ind,0.0
NumMinViol_raw_2.0,0.0
NumMinViol_raw_0.0,0.0
cef_first_sev_prob_ind,0.0
NumSpdViol_raw___OTHER__,0.0
veh_use_farm_ind,0.0
NumMinAcc_raw_0.0,0.0
NumMinAcc_raw_1.0,0.0
NumMinAcc_raw_2.0,0.0
NumMinAcc_raw_3.0,0.0
NumMinAcc_raw_4.0,0.0
NumMinAcc_raw___OTHER__,0.0
NumMajinAcc_raw_0.0,0.0
